"title","average_vote","popularity","tagline"
"The Apartment","8.1","22.889294","Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!"
"It's a Wonderful Life","8.0","42.868495","It's a wonderful laugh! It's a wonderful love!"
"Spotlight","7.8","41.503588","Break the story. Break the silence."
"Harry Potter and the Philosopher's Stone","7.5","109.984351","Let the Magic Begin."
"Die Hard","7.5","66.169628","40 Stories. Twelve Terrorists. One Cop."
"A Charlie Brown Christmas","7.5","8.701183","That's what Christmas is all about, Charlie Brown!"
"A Christmas Story","7.4","15.128316","Peace, Harmony, Comfort and Joy... Maybe Next Year."
"Kiss Kiss Bang Bang","7.2","32.690038","SeX. MurdEr. MyStery. Welcome to the party."
"The Muppet Christmas Carol","7.2","15.085981","*No Tag Line*"
"Trading Places","7.1","34.022209","Some very funny business."
"Eyes Wide Shut","7.1","27.870312","Cruise. Kidman. Kubrick."
"Home Alone","7.1","2.186927","A Family Comedy Without the Family."
"Love Actually","7.0","37.073127","The ultimate romantic comedy."
"A Madea Christmas","7.0","5.377155","This Little Fool Thinks She's Getting A Damn Pony"
"The Holiday","6.7","44.967453","It's Christmas Eve and we are going to go celebrate being young and being alive."
"Scrooged","6.7","21.620317","The spirits will move you in odd and hysterical ways."
"Arthur Christmas","6.7","19.836830","Ever wonder how 2 Billion presents get delivered all in 1 night?"
"Batman Returns","6.6","59.113174","The Bat, the Cat, the Penguin."
"A Christmas Carol","6.6","39.744242","Season's Greedings"
"Bridget Jones's Diary","6.5","35.310712","Health Warning: Adopting Bridget's lifestyle could seriously damage your health."
"Bad Santa","6.5","26.588730","He doesn't care if you're naughty or nice."
"The Family Man","6.5","19.705489","What if you made different choices? What if you said yes, instead of no? What if you got a second chance?"
"The Long Kiss Goodnight","6.5","15.858629","What's forgotten is not always gone."
"Everyone Says I Love You","6.5","12.379781","*No Tag Line*"
"The Polar Express","6.4","47.323228","This holiday season... believe."
"Elf","6.4","16.901954","This holiday, discover your inner elf."
"Home Alone 2: Lost in New York","6.3","81.487685","He's up past his bedtime in the city that never sleeps."
"The Santa Clause","6.3","16.234053","What if your dad was Santa Claus?"
"How the Grinch Stole Christmas","6.2","45.419668","He puts the mean in green."
"The Family Stone","6.2","14.190837","Feel The Love"
"The Quiet","6.1","4.097100","Isn't it time everyone hears your secrets?"
"Christmas Eve","6.1","1.985243","They'll be home for Christmas...if only in their dreams."
"A Very Harold & Kumar Christmas","6.0","17.971883","Christmas comes prematurely."
"Donovan's Reef","6.0","1.897263","Gangway...For This Years BIG Adventure!"
"Krampus","5.9","31.565117","You don't want to be on his list."
"Daylight","5.8","16.681269","No air. No escape. No time."
"Black Nativity","5.8","7.180403","The Musical Event of the Holiday Season"
"The Christmas Candle","5.8","1.799504","Believe the Miracle"
"Jingle All the Way","5.5","22.501041","Two Dads, One Toy, No Prisoners."
"The Santa Clause 2","5.5","14.646884","What's Christmas Fun without some Reindeer Games?"
"Love the Coopers","5.4","9.191187","Christmas means comfort, joy and chaos."
"Four Christmases","5.3","19.500893","His father, her mother, his mother and her father all in one day."
"All Is Bright","5.3","3.613577","All is busted. All is broke. All is bitter. All is BRIGHT."
"Christmas with the Kranks","5.2","9.225166","No! Ho! Ho!"
"Happy Christmas","5.2","7.052422","Family is the gift that keeps on taking."
"Turbulence","5.2","4.700024","If you weren't afraid of flying before, you will be now."
"Deck the Halls","5.1","5.952527","There glows the neighborhood"
"Black Christmas","4.8","4.134327","This holiday season, the slay ride begins."
"Jaws: The Revenge","3.5","12.777008","This time, it’s personal."
