"title","average_vote","popularity","tagline"
"The Green Mile","8.2","103.698022","Miracles do happen."
"The Lord of the Rings: The Return of the King","8.1","123.630332","The eye of the enemy is moving."
"The Lord of the Rings: The Fellowship of the Ring","8.0","138.049577","One ring to rule them all"
"The Lord of the Rings: The Two Towers","8.0","106.914973","A New Power Is Rising."
"It's a Wonderful Life","8.0","42.868495","It's a wonderful laugh! It's a wonderful love!"
"Star Wars: Clone Wars: Volume 1","8.0","1.881466","*No Tag Line*"
"Monty Python and the Holy Grail","7.8","64.782984","And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is."
"V for Vendetta","7.7","84.630969","People should not be afraid of their governments. Governments should be afraid of their people."
"Harry Potter and the Prisoner of Azkaban","7.7","79.679601","Something wicked this way comes."
"Donnie Darko","7.7","61.210016","You can never go too far"
"How to Train Your Dragon 2","7.6","100.213910","The training is over."
"The Hobbit: The Desolation of Smaug","7.6","94.370564","Beyond darkness... beyond desolation... lies the greatest danger of all."
"The Iron Giant","7.6","61.245957","It came from outer space!"
"Big Fish","7.6","46.199482","An adventure as big as life itself."
"The Princess Bride","7.6","44.533612","It's as real as the feelings you feel."
"Evil Dead II","7.6","35.674774","The Sequel To The Ultimate Experience In Grueling Terror"
"The Little Prince","7.6","35.384423","Growing up isn't the problem... forgetting is."
"Pirates of the Caribbean: The Curse of the Black Pearl","7.5","271.972889","Prepare to be blown out of the water."
"X-Men: Days of Future Past","7.5","118.078691","To save the future, they must alter the past"
"Harry Potter and the Philosopher's Stone","7.5","109.984351","Let the Magic Begin."
"Harry Potter and the Goblet of Fire","7.5","101.250416","Dark And Difficult Times Lie Ahead."
"How to Train Your Dragon","7.5","67.263269","One adventure will change two worlds"
"Ratatouille","7.5","65.677399","He's dying to become a chef."
"The Lego Movie","7.5","59.547928","The story of a nobody who saved everybody."
"Edward Scissorhands","7.5","47.513630","His scars run deep."
"Eraserhead","7.5","20.399578","Where your nightmares end..."
"Harry Potter and the Chamber of Secrets","7.4","132.397737","Hogwarts is back in session."
"Harry Potter and the Half-Blood Prince","7.4","98.885637","Dark Secrets Revealed"
"Aladdin","7.4","92.982009","Wish granted!"
"The Age of Adaline","7.4","82.052056","Love is timeless."
"Harry Potter and the Order of the Phoenix","7.4","78.144395","Evil Must Be Confronted."
"The Wizard of Oz","7.4","67.417542","We're off to see the Wizard, the wonderful Wizard of Oz!"
"Mary Poppins","7.4","59.961523","It's supercalifragilisticexpialidocious!"
"Groundhog Day","7.4","52.744331","He's having the worst day of his life... over, and over..."
"Midnight in Paris","7.4","43.753585","*No Tag Line*"
"Willy Wonka & the Chocolate Factory","7.4","23.981601","It's Scrumdiddlyumptious!"
"The Fifth Element","7.3","109.528572","There is no future without it."
"Shrek","7.3","67.298732","The greatest fairy tale never told."
"The Curious Case of Benjamin Button","7.3","60.269279","Life isn't measured in minutes, but in moments."
"E.T. the Extra-Terrestrial","7.3","56.105798","He is afraid. He is alone. He is three million light years from home."
"The Crow","7.3","44.690107","Real love is forever."
"The Book of Life","7.3","34.890999","*No Tag Line*"
"Army of Darkness","7.3","33.758281","Trapped in time. Surrounded by evil. Low on gas."
"Being John Malkovich","7.3","27.546914","Ever wanted to be someone else? Now you can."
"The Secret of Kells","7.3","10.621353","Turn the darkness into light"
"Avatar","7.2","150.437577","Enter the World of Pandora."
"The Emperor's New Groove","7.2","51.113717","It's All About.....ME!"
"Corpse Bride","7.2","43.571612","There's been a grave misunderstanding."
"Treasure Planet","7.2","38.924136","Find your place in the universe."
"Enter the Void","7.2","20.399550","*No Tag Line*"
"The Muppet Christmas Carol","7.2","15.085981","*No Tag Line*"
"Somewhere in Time","7.2","5.934016","Beyond fantasy. Beyond obsession. Beyond time itself... he will find her."
"The Hobbit: The Battle of the Five Armies","7.1","120.965743","Witness the defining chapter of the Middle-Earth saga"
"Rise of the Guardians","7.1","61.788035","You better believe."
"Beetlejuice","7.1","58.553213","He's guaranteed to put some life in your afterlife."
"Stardust","7.1","48.032734","This Summer A Star Falls. The Chase Begins."
"Perfume: The Story of a Murderer","7.1","42.551902","Based on the best-selling novel"
"The Illusionist","7.1","36.960953","Nothing Is What It Seems."
"Stranger Than Fiction","7.1","32.267890","Harold Crick isn't ready to go. Period."
"Big Trouble in Little China","7.1","29.796394","Adventure doesn't come any bigger!"
"Pirates of the Caribbean: Dead Man's Chest","7.0","145.847379","Jack is back!"
"Maleficent","7.0","110.620647","Don't believe the fairy tale."
"The Hobbit: An Unexpected Journey","7.0","108.849621","From the smallest beginnings come the greatest legends."
"The NeverEnding Story","7.0","47.862016","A boy who needs a friend finds a world that needs a hero in a land beyond imagination!"
"Batman","7.0","44.104469","Have you ever danced with the devil in the pale moonlight?"
"The Secret Life of Walter Mitty","7.0","43.348022","Stop Dreaming, Start Living"
"Heavenly Creatures","7.0","8.753409","From a secret world no one could see... came a crime no one could believe."
"Pirates of the Caribbean: At World's End","6.9","139.082615","At the end of the world, the adventure begins."
"Snow White and the Seven Dwarfs","6.9","80.171283","The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year."
"The Hunger Games","6.9","68.550698","May The Odds Be Ever In Your Favor."
"Superman","6.9","48.507081","You'll Believe a Man Can Fly!"
"Gremlins","6.9","45.072136","Don't get him wet, keep him out of bright light, and never feed him after midnight."
"Ghost","6.9","41.967005","A love that will last forever."
"Meet Joe Black","6.9","36.069611","Sooner or later everyone does."
"Big","6.9","20.716023","You're Only Young Once But For Josh It Might Just Last A Lifetime."
"Quest for Camelot","6.9","16.059443","An evil knight gives nobility a bad name."
"Holy Motors","6.9","9.140936","From dawn to dusk, a few hours in the shadowy life of a mystic man named Monsieur Oscar."
"The Call of Cthulhu","6.9","1.777148","*No Tag Line*"
"Thor: The Dark World","6.8","99.499595","Delve into the darkness"
"Spider-Man","6.8","82.502566","With great power comes great responsibility."
"The Croods","6.8","64.183321","Meet the first modern family."
"Home","6.8","63.473086","Worlds Collide"
"Hotel Transylvania","6.8","56.257411","Where monsters go to get away from it all"
"Dawn of the Dead","6.8","44.529429","When the undead rise, civilization will fall."
"Highlander","6.8","29.253833","There can be only one."
"The Jacket","6.8","24.240361","Terror has a new name."
"What Dreams May Come","6.8","21.891078","After life there is more. The end is just the beginning."
"Dogma","6.8","14.543435","It can be Hell getting into Heaven"
"Ladyhawke","6.8","14.370111","No force in Heaven will release them. No power on Earth can save them."
"Beasts of the Southern Wild","6.8","12.471239","I  gotta take care of mine."
"The Thief and the Cobbler","6.8","2.439184","*No Tag Line*"
"Fetching Cody","6.8","0.077876","How far would you go for love?"
"Brave","6.7","125.114374","Change your fate."
"Cinderella","6.7","101.187052","Midnight is just the beginning."
"The Jungle Book","6.7","94.199316","*No Tag Line*"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","6.7","67.391328","Evil Has Reigned For 100 Years..."
"Charlie and the Chocolate Factory","6.7","53.905592","Willy Wonka is semi-sweet and nuts."
"Shrek 2","6.7","47.320801","Once upon another time..."
"The Time Traveler's Wife","6.7","37.492928","*No Tag Line*"
"The Addams Family","6.7","37.179547","Weird Is Relative"
"Spider-Man 2","6.7","35.149586","There's a hero in all of us."
"Scrooged","6.7","21.620317","The spirits will move you in odd and hysterical ways."
"Creepshow","6.7","13.661289","The Most Fun You'll Ever Have... BEING SCARED!"
"To Die For","6.7","12.309715","All she wanted was a little attention."
"Bubba Ho-tep","6.7","9.954848","The King vs. The King of the Dead."
"Wristcutters: A Love Story","6.7","8.542921","Life is a trip, but the afterlife is one hell of a ride"
"The Brave Little Toaster","6.7","6.863020","Imagine if Your Toaster Went on a Journey of its Own!"
"Return to Oz","6.7","5.650125","An all-new adventure down the yellow brick road."
"Northfork","6.7","1.980265","*No Tag Line*"
"Thor","6.6","86.493424","Two worlds. One hero."
"The Mask","6.6","85.303180","From zero to hero."
"Underworld","6.6","81.829237","Underworld"
"Batman Returns","6.6","59.113174","The Bat, the Cat, the Penguin."
"Hook","6.6","33.648404","What if Peter Pan grew up?"
"Conan the Barbarian","6.6","31.802807","Thief. Warrior. Gladiator. King."
"The Boxtrolls","6.6","30.656345","When troubles strikes friends stack together"
"The Lovely Bones","6.6","29.257137","The story of a life and everything that came after..."
"Enchanted","6.6","29.219980","This fairytale princess is about to meet a real Prince Charming"
"Time Bandits","6.6","14.779537","All the dreams you've ever had and not just the good ones."
"Mirrormask","6.6","7.758188","The Other Side of Reason. The Other Side of Fate. The Other Side of Truth."
"Do You Believe?","6.6","2.470443","*No Tag Line*"
"Special","6.6","1.260314","*No Tag Line*"
"The Ghastly Love of Johnny X","6.6","0.209475","They Sing! They Dance! They're Juvenile Delinquents from Outer Space!"
"Man of Steel","6.5","99.398009","You will believe that a man can fly."
"The Amazing Spider-Man","6.5","89.866276","The untold story begins."
"The Amazing Spider-Man 2","6.5","89.270217","No more secrets."
"Hellboy II: The Golden Army","6.5","58.579760","Saving the world is a hell of a job."
"Alice Through the Looking Glass","6.5","56.268916","It's time for a little madness."
"Hellboy","6.5","47.479755","From the Dark Side to Our Side."
"The Tree of Life","6.5","43.862456","Nothing stands still."
"Legend of the Guardians: The Owls of Ga'Hoole","6.5","37.321848","On his way to finding a legend...he will become one."
"Space Jam","6.5","36.125715","Get ready to jam."
"Superman II","6.5","30.515175","The Man of Steel meets his match!"
"The Family Man","6.5","19.705489","What if you made different choices? What if you said yes, instead of no? What if you got a second chance?"
"The Odd Life of Timothy Green","6.5","16.394452","He's a force of nature."
"Sliding Doors","6.5","15.639016","What if one split second sent your life in two completely different directions?."
"Just Like Heaven","6.5","13.435730","It's a wonderful afterlife."
"Dragonslayer","6.5","3.258422","In the Dark Ages, Magic was a weapon. Love was a mystery. Adventure was everywhere... And Dragons were real."
"Pirates of the Caribbean: On Stranger Tides","6.4","135.413856","Live Forever Or Die Trying."
"Bruce Almighty","6.4","109.684788","In Bruce we trust"
"Alice in Wonderland","6.4","78.530105","You're invited to a very important date."
"Underworld: Evolution","6.4","49.020045","My God. Brother, what have you done?"
"The Polar Express","6.4","47.323228","This holiday season... believe."
"Epic","6.4","36.711378","Discover a world beyond your imagination"
"DragonHeart","6.4","31.791979","You will believe."
"Where the Wild Things Are","6.4","31.586215","There's one in all of us."
"The 13th Warrior","6.4","27.220157","Prey for the living."
"Nanny McPhee","6.4","24.356483","You'll Learn To Love Her. Warts And All."
"City of Angels","6.4","21.272734","She didn't believe in angels until she fell in love with one."
"Puss in Boots","6.4","20.678787","Live for danger. Fight for justice. Pray for mercy."
"Hocus Pocus","6.4","18.650748","It's just a bunch of Hocus Pocus."
"Ghost Town","6.4","17.988170","He sees dead people... and they annoy him."
"Elf","6.4","16.901954","This holiday, discover your inner elf."
"New Nightmare","6.4","14.730796","One, Two, Freddy's coming for you..."
"The Prophecy","6.4","11.818333","On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth."
"Ink","6.4","5.217002","dreams"
"Tuck Everlasting","6.4","4.115398","If you could choose to live forever, would you?"
"Jonah: A VeggieTales Movie","6.4","1.446172","Fresh Fish. Mixed Vegetables."
"The Blue Bird","6.4","1.280733","*No Tag Line*"
"Ted","6.3","68.876910","Ted is coming."
"Warcraft","6.3","63.148529","Two worlds. One home."
"The Chronicles of Narnia: Prince Caspian","6.3","53.978602","Hope has a new face."
"Night at the Museum","6.3","48.780039","Where History Comes To Life"
"13 Going on 30","6.3","41.569541","For some, 13 feels like it was just yesterday. For Jenna, it was."
"The Imaginarium of Doctor Parnassus","6.3","37.181019","*No Tag Line*"
"Monster House","6.3","36.368839","The House is . . . ALIVE!"
"Death Becomes Her","6.3","29.498304","In one small bottle... The fountain of youth. The secret of eternal life. The power of an ancient potion. Sometimes it works... sometimes it doesn't."
"The Spiderwick Chronicles","6.3","21.436682","Their World Is Closer Than You Think."
"The Craft","6.3","19.517239","Welcome to the witching hour."
"The Forbidden Kingdom","6.3","17.097041","The battle for eternity is the fantasy of a lifetime."
"The Legend of Bagger Vance","6.3","16.848899","It Was Just A Moment Ago."
"The Santa Clause","6.3","16.234053","What if your dad was Santa Claus?"
"The Wolverine","6.3","15.953444","When he's most vulnerable, he's most dangerous."
"Practical Magic","6.3","15.142701","For two sisters from a family of witches, falling in love is the trickiest spell of all."
"Thunder and the House of Magic","6.3","12.867326","One lost little cat. One magical adventure."
"The Warrior's Way","6.3","7.349497","Assassin. Hero. Legend."
"Blade II","6.2","67.169587","Faster. Sharper. Deadlier."
"Dracula Untold","6.2","64.457947","Every bloodline has a beginning"
"Prince of Persia: The Sands of Time","6.2","62.169881","Defy the Future"
"Hancock","6.2","56.758411","Bad Behavior. Bad Attitude. Real Hero."
"Underworld: Rise of the Lycans","6.2","51.927471","Every war has a beginning."
"The Chronicles of Narnia: The Voyage of the Dawn Treader","6.2","49.661984","Return to magic. Return to hope. Return to Narnia."
"The Mortal Instruments: City of Bones","6.2","45.514031","You have been chosen"
"How the Grinch Stole Christmas","6.2","45.419668","He puts the mean in green."
"Gremlins 2: The New Batch","6.2","33.986370","Here they grow again."
"Pete's Dragon","6.2","31.974359","Some secrets are too big to keep."
"City of Ember","6.2","23.465539","Escape is the only option"
"Small Soldiers","6.2","23.088571","The few, the proud, and the small."
"Phenomenon","6.2","15.039407","Some things in life just can't be explained."
"Twilight Zone: The Movie","6.2","12.902975","You're travelling through another dimension. A dimension, not only of sight and sound, but of mind. A journey into a wondrous land whose boundaries are that of imagination. Next stop, the Twilight Zone!"
"Lifeforce","6.2","12.183620","In the blink of an eye, the terror begins."
"Digimon: The Movie","6.2","3.738700","*No Tag Line*"
"Night at the Museum: Secret of the Tomb","6.1","115.597753","One Final Night to Save the Day."
"The Twilight Saga: Breaking Dawn - Part 2","6.1","99.687084","The epic finale that will live forever"
"Underworld: Awakening","6.1","58.401204","Vengeance Returns"
"Mars Attacks!","6.1","44.090535","Nice planet. We'll take it!"
"Last Action Hero","6.1","32.044191","This isn't the movies anymore."
"Splash","6.1","21.735068","Allen Bauer Thought He'd Never Find The Right Woman... He Was Only Half Wrong!"
"Return to Never Land","6.1","15.341196","The Classic Continues"
"Zathura: A Space Adventure","6.1","15.194239","Adventure Is Waiting"
"Cirque du Soleil: Worlds Away","6.1","5.987486","Experience a Journey Like Never Before"
"Percy Jackson & the Olympians: The Lightning Thief","6.0","61.121717","Worlds Collide"
"The BFG","6.0","44.190920","The world is more giant than you can imagine."
"Shrek Forever After","6.0","44.041186","It ain't Ogre... Til it's Ogre"
"Shrek the Third","6.0","42.986467","Who's ready for Thirds?"
"The Mummy Returns","6.0","41.862983","The most powerful force on earth is about to be unleashed by the two people who should know better."
"Click","6.0","41.176631","What If You Had A Remote... That Controlled Your Universe?"
"Babe","6.0","34.366450","A little pig goes a long way."
"Daybreakers","6.0","28.019226","In 2019, The Most Precious Natural Resource... Is Us."
"Reign of Fire","6.0","27.615108","Fight Fire With Fire"
"Arthur and the Invisibles","6.0","27.097932","Adventure awaits in your own backyard."
"Inkheart","6.0","27.018886","Every story ever written is just waiting to become real."
"Beastly","6.0","24.054062","Love is never ugly."
"Nanny McPhee and the Big Bang","6.0","23.835055","You'll Believe That Pigs Can Fly!"
"Winter's Tale","6.0","22.736038","This is not a true story. This is true love."
"Casper","6.0","19.830132","Get an afterlife"
"The Kid","6.0","18.281798","Nobody ever grows up quite like they imagined."
"The Invention of Lying","6.0","16.665841","In a world where everyone can only tell the truth... This guy can lie."
"Wolf","6.0","13.758526","The animal is out."
"Kate & Leopold","6.0","11.940711","If they lived in the same century they'd be perfect for each other."
"The Beastmaster","6.0","6.377523","Born with the courage of an eagle, the strength of a black tiger, and the power of a god."
"Cat People","6.0","5.698720","They are something more than lovers who are about to become something less than human."
"Snow White: A Tale of Terror","6.0","4.810621","The fairy tale is over."
"The Tempest","6.0","3.620537","*No Tag Line*"
"Spider-Man 3","5.9","115.699814","The battle within."
"Suicide Squad","5.9","90.237920","Worst Heroes Ever"
"Night at the Museum: Battle of the Smithsonian","5.9","81.781591","When the lights go off the battle is on."
"Pan","5.9","48.035280","Every legend has a beginning."
"47 Ronin","5.9","41.796339","For courage. For loyalty. For honor."
"Percy Jackson: Sea of Monsters","5.9","40.262261","Where There Are Gods, There Are Monsters."
"Sucker Punch","5.9","39.127082","You will be unprepared"
"Krampus","5.9","31.565117","You don't want to be on his list."
"Final Fantasy: The Spirits Within","5.9","26.074908","Unleash a new reality"
"Bedtime Stories","5.9","23.531721","Whatever they dream up... he has to survive."
"Ella Enchanted","5.9","22.715920","Get enchanted"
"Jumper","5.9","21.218000","anywhere is possible."
"Peggy Sue Got Married","5.9","12.243887","Knowing what you know now, what would you do differently?"
"Firestarter","5.9","11.379652","Will she have the power... to survive?"
"Bill & Ted's Bogus Journey","5.9","11.349664","Once... they made history. Now... they are history."
"The Indian in the Cupboard","5.9","11.095914","*No Tag Line*"
"Mighty Joe Young","5.9","6.643778","Survival is an instinct."
"The Wiz","5.9","2.753313","From the book that's an American tradition… from the smash-hit Broadway show… the entertainment of the year!"
"Teenage Mutant Ninja Turtles","5.8","143.350376","Mysterious. Dangerous. Reptilious. You've never seen heroes like this."
"Twilight","5.8","127.084938","When you can live forever, what do you live for?"
"The Twilight Saga: Eclipse","5.8","107.069763","It all begins ... With a choice."
"Snow White and the Huntsman","5.8","77.178973","The Fairytale is Over"
"The Golden Compass","5.8","42.990906","There are worlds beyond our own - the compass will show the way."
"Teenage Mutant Ninja Turtles: Out of the Shadows","5.8","39.873791","Raise some shell."
"The Sorcerer's Apprentice","5.8","35.580815","It's The Coolest Job Ever."
"Stuart Little","5.8","30.475297","The Little Family Just Got Bigger"
"Just My Luck","5.8","22.074306","Everything changed in the wink of an eye."
"Conan the Destroyer","5.8","18.379124","The most powerful legend of all is back in a new adventure."
