"title","average_vote","popularity","tagline"
"The Empire Strikes Back","8.2","78.517830","The Adventure Continues..."
"Star Wars","8.1","126.393695","A long time ago in a galaxy far, far away..."
"Blade Runner","7.9","94.056131","Man has made his match... now it's his problem."
"Return of the Jedi","7.9","46.509071","The Empire Falls..."
"Raiders of the Lost Ark","7.7","68.159596","Indiana Jones - the new hero from the creators of JAWS and STAR WARS."
"Indiana Jones and the Last Crusade","7.6","80.972475","The man with the hat is back. And this time, he's bringing his Dad."
"The Conversation","7.5","20.810292","Harry Caul is an invader of privacy. The best in the business."
"The Age of Adaline","7.4","82.052056","Love is timeless."
"The Fugitive","7.2","54.884297","A murdered wife. A one-armed man. An obsessed detective. The chase begins."
"Indiana Jones and the Temple of Doom","7.1","66.976776","If adventure has a name... it must be Indiana Jones."
"Witness","7.0","19.195399","A big city cop. A small country boy. They have nothing in common... but a murder."
"42","6.8","31.884559","The True Story Of An American Legend"
"Ender's Game","6.6","45.948340","This is not a game."
"Clear and Present Danger","6.4","18.832471","The war of drugs would lead him to the war of power."
"Force 10 from Navarone","6.4","5.348446","*No Tag Line*"
"Patriot Games","6.3","19.637704","Not for honor. Not for country. For his wife and child."
"What Lies Beneath","6.3","15.835672","He was the perfect husband until his one mistake followed them home."
"Air Force One","6.2","36.387950","The fate of a nation rests on the courage of one man."
"The Expendables 3","6.1","61.025639","New team. New attitude. New mission."
"Morning Glory","6.1","22.491388","Breakfast TV just got interesting."
"K-19: The Widowmaker","6.1","15.625949","Fate has found its hero."
"Extraordinary Measures","6.0","6.487344","Don't hope for a miracle. Make one."
"The Devil's Own","5.9","15.350451","They come from different worlds. They fight for different causes. Now, two men from opposite sides of the law are about to go to war."
"Indiana Jones and the Kingdom of the Crystal Skull","5.7","75.674458","The adventure continues . . ."
"Six Days Seven Nights","5.6","18.264635","After this week in paradise, they’re going to need a vacation."
"Firewall","5.6","18.186026","Nothing Is More Dangerous Than A Man With Everything To Lose."
"Random Hearts","5.3","4.137237","In a perfect world...they never would have met."
"Hollywood Homicide","5.0","10.605084","*No Tag Line*"
