"title","average_vote","popularity","genres_with_emojis"
"Riding Giants","7.6","0.895946","Documentary📹"
"Oceans","7.3","10.706613","Family👨‍👩‍👧‍👦,Documentary📹"
"Life of Pi","7.2","51.328145","Action🤺,Adventure🧗,Drama🎭"
"The Life Aquatic with Steve Zissou","7.1","25.237969","Drama🎭,Comedy🤣,Adventure🧗"
"The Abyss","7.1","24.961625","Thriller💣,Adventure🧗,Science Fiction👽,Action🤺"
"Whale Rider","7.1","12.439495","Drama🎭,Family👨‍👩‍👧‍👦"
"Pirates of the Caribbean: At World's End","6.9","139.082615","Adventure🧗,Fantasy🧌,Action🤺"
"Triangle","6.9","25.496926","Horror😱"
"20,000 Leagues Under the Sea","6.8","9.358197","Adventure🧗,Science Fiction👽,Drama🎭"
"The SpongeBob SquarePants Movie","6.7","27.870755","Animation🦄,Family👨‍👩‍👧‍👦,Comedy🤣"
"In the Heart of the Sea","6.5","50.767332","History🏛️,Action🤺,Adventure🧗,Thriller💣,Drama🎭"
"Waterworld","5.9","44.640292","Adventure🧗,Action🤺"
"Happy Feet","5.9","37.272385","Animation🦄,Comedy🤣"
"The SpongeBob Movie: Sponge Out of Water","5.8","36.952268","Adventure🧗,Animation🦄,Comedy🤣,Family👨‍👩‍👧‍👦"
"Sphere","5.8","18.659880","Science Fiction👽"
