actor_id,actor
112163,Wen Bin Huang
62644,50 Cent
6195,Harold Perrineau
10594,Ringo Starr
63676,Nikki SooHoo
7471,Zach Grenier
3037,Richard Dreyfuss
25878,Shawn Doyle
64,Gary Oldman
26044,Bill Erwin
139811,Mark Caven
77885,Blayne Weaver
56730,Cole Sprouse
26469,Holly Marie Combs
17697,John Krasinski
40275,Tim Guinee
3284,Bruce Springsteen
20803,Zuleikha Robinson
4154,Brenda Blethyn
33613,Sheryl Lee Ralph
51990,T.J. Miller
116334,Merl Reagle
1078568,Emma Rigby
88550,Joel Garland
5248,Lee J. Cobb
137927,Struan Rodger
6862,Freddy Rodríguez
17288,Michael Fassbender
89462,Kali Hawk
1902,Dianne Wiest
557395,Laura Pyper
15788,Nigel Hawthorne
5374,Jim Parsons
20284,Gary Stretch
154955,Danielle Savre
82580,Stephen Nichols
30050,Brian Avery
18973,Mila Kunis
14464,Jenny Agutter
54826,Traylor Howard
57189,Ryan Newman
990400,Victoria Foyt
1580,Daveigh Chase
29459,Patrick Bergin
1151957,Sophie Kennedy Clark
119485,Gerald S. O'Loughlin
59153,Robin Givens
41505,Faith Prince
37153,Zoë Kravitz
19754,Tony Cox
59841,Matt Walsh
5377,Ato Essandoh
20584,Lucy Lawless
54620,Branko Đurić
5527,Skandar Keynes
938,Djimon Hounsou
169625,Alejandro Furth
93129,Chenoa Maxwell
1192218,Sebastian de Souza
65345,Sandrine Holt
142368,Darci Kistler
9013,Kevin McKidd
4966,Keenan Wynn
11753,Denise Bixler
67453,Danso Gordon
57952,Tianna Sansbury
4569,David Fox
56455,Moon Bloodgood
94103,Evan Ross
191228,Victoria Justice
76546,Ricky Schroder
134184,Leehom Wang
33934,Derek Richardson
2091,James Mason
143056,Matthew A. Brown
27638,Gina Bellman
74568,Chris Hemsworth
34070,Nora Zehetner
45586,Magda Szubanski
10680,Talisa Soto
40978,Larisa Oleynik
25246,Andy Lau
15737,Helen McCrory
34900,Paul Whitehouse
19275,Amanda Detmer
43120,Andy Dick
4133,Giuseppe Andrews
387,Kim Greist
1527845,Kathryn Metz
56265,Dale Midkiff
116,Keira Knightley
19901,Clive Russell
63372,Christa Brittany  Allen
8197,Sebastian Koch
77120,Steve Austin
18324,Steve Zahn
8891,John Travolta
7866,Robert Pastorelli
19189,Elizabeth Berkley
15659,Marianna Hill
102786,Barack Obama
68456,Richard Hunt
156606,Cory Buck
934359,Dan Levy
17181,Ty Simpkins
65030,Joe Breen
17920,Kathrine Narducci
57350,Donovan Scott
127558,Andrea Riseborough
1571591,Tamara Rey
18687,William McNamara
8335,Kim Coates
29020,Eric Christian Olsen
1160,Michelle Pfeiffer
35350,Marc Singer
54799,Redman
7684,Thelma Ritter
17346,Robin Tunney
20899,Peter Riegert
68536,Richard Hawking
104014,Jim Siedow
1393179,Venus Schultheis
1208,Ralph Bellamy
71403,Rob Riggle
15545,Mncedisi Shabangu
583899,Richard Rider
1046202,Candice Coke
20495,Jeff Fahey
54830,Sophia Bush
76669,Wayne Brady
12149,Richard Widmark
103616,Mae West
16840,Raquel Alessi
53517,Nigel Havers
1639,Emily Watson
7631,Stella Stevens
83902,James Blackwell
11803,Peter Greene
59373,Mélanie Thierry
116637,Cung Le
1174141,David Terrell
81685,Frank Grillo
19492,Viola Davis
60527,Ida Martin
12249,Sessue Hayakawa
1532954,Carole Morison
16628,Martin Compston
65409,Fay Masterson
77700,Travis Fimmel
1465324,Adam Greaves-Neal
586,Sean Young
7675,Paul Gleason
128206,Lea Michele
2405,Audrey Tautou
1188558,Jeremy Jordan
4301,Angie Dickinson
119521,Conor O'Farrell
65850,Carolyn Saxon
65642,John Light
8493,Ruth White
4963,Woody Strode
7517,Kate Bosworth
40949,Joan Sims
60077,Douglas Smith
17243,Jonathan Tucker
7708,Arsinée Khanjian
985040,Yolandi Visser
3041,Marshall Bell
8544,Eric Braeden
104310,Lee Scott
235028,J-Boog
142365,George McLaren
8783,Eric Bana
1186733,Tanya Smith
11662,Jason Lee
17276,Gerard Butler
64999,Megan Ward
9832,Tyler Mane
17580,John Vernon
17773,Gabrielle Union
16962,Jang Dong-gun
55467,Stephen Campbell Moore
982,Sting
70786,Jean Michel Paré
996701,Miles Teller
1525959,Jace Casey
1254796,Ayesha Omar
25503,Mandy Patinkin
66658,Jae Head
8979,Patrick Malahide
3062,Daniel Wyllie
72119,Mia Drake Inderbitzin
22124,Jill Ritchie
36216,Cynthia Watros
9599,Cloris Leachman
87707,John Ventimiglia
1009257,Caitlyn Folley
2048,Gary Busey
27737,Bill Moseley
65683,Alex Vincent
112037,Zelda Harris
55037,Jeremy Kemp
1152492,Allen Fiuzat
11321,Heidi Schanz
210126,Michaela McManus
227364,Ben Rovner
65928,J.D. Williams
145116,Samantha Barks
68284,Lorraine Pilkington
66811,David Huffman
80623,Savion Glover
14888,Bruce McGill
1327009,Lorelei Linklater
105880,LisaRaye McCoy
49148,Calista Flockhart
12657,Jean Marsh
1397778,Anya Taylor-Joy
97914,Karl Hardman
29952,Sam De Grasse
47774,Vincent Pastore
5309,Judi Dench
582888,Chrystale Wilson
210271,Taylor Kinney
4513,Elizabeth McGovern
1459,Tina Turner
856,Ben Gazzara
49346,Debora Weston
51533,Fran Kranz
1519320,Rhomeyn Johnson
54793,Carlo Rota
124432,Drum Garrett
21355,DMX
99039,Ron Fazio
70899,Tamara Feldman
32987,Sam Riley
6012,Daniel Auteuil
1132157,Rufus Graham
12726,Trevor Howard
58150,Stacey Dash
55615,Megan Park
2880,Emilio Estevez
14882,Jackie Gleason
64160,Robert Fyfe
2049,Rubén Blades
1430,Keith Richards
47468,Frances de la Tour
860,Eve Arden
22133,Jack Noseworthy
26257,Leigh Lawson
111739,Kate Dollenmayer
1428,Mick Jagger
235276,Aasheekaa Bathija
58529,Marvin Chatinover
10671,Joe Don Baker
3011,Linda Manz
57997,Malcolm Goodwin
16935,Geena Davis
237,Aidan Devine
20191,Jose Pablo Cantillo
62127,Lonette McKee
116618,Joseph Kaiser
46922,Jeffrey Johnson
12094,Jennifer Saunders
93293,Lana Rahman
145836,Aimee Teegarden
74440,Nichola Burley
100700,Izzy Diaz
77260,Paul Anka
1745065,Mónica Huarte
99314,Yılmaz Erdoğan
965224,Thomas Robinson
18325,Jeremy Northam
1834,Shirley Henderson
17199,Corey Johnson
111652,Bart Voitila
223124,Ellen Wroe
5,Peter Cushing
1532384,R.L. Mann
55267,Terry Kiser
1229,Jeff Bridges
9919,Claudine Auger
54429,Maia Campbell
71913,Bokeem Woodbine
106843,Buzz Aldrin
58623,Sy Richardson
154644,Una Damon
103374,Charles Busch
97599,Nathalie Boltt
156509,Dylan Haggerty
94421,Bobby Campo
66199,Stacey Nelkin
1372,Karl Urban
65508,James Olson
21180,Justin Bartha
7499,Jared Leto
8354,Albert Hall
20494,Zoë Bell
1026947,Dascha Polanco
1012752,Erin Way
34485,Lauren Holly
28168,Timothy Stack
60005,Nathan Phillips
116549,Deirdre Blades
10559,Colleen Dewhurst
53117,Dustin Milligan
79504,Rachel Korine
1488909,Bobby Batson
4491,Jennifer Aniston
120248,Ashley Bell
1319096,Marion Lambert
103389,Jacqueline MacInnes Wood
29999,Warner Baxter
94820,Jessica DiCicco
77767,Rachael Carpani
139135,Lena Dunham
456066,Ryan Lee
3799,Billy Dee Williams
154000,Essence Atkins
136348,Robin McLeavy
1499082,Rodrigo Viaggio
10370,David Lochary
1382820,Josef d'Bache-Kane
45050,Craig Parkinson
67773,Steve Martin
8727,Basil Rathbone
42335,Kathleen Wilhoite
23458,Charlie Cox
29091,Mia Sara
1395445,David Roland Frank
47589,Jay Villiers
2062,Kent McCord
79427,Damian Jewan Lee
6807,Sam Rockwell
197057,Melanie Kinnaman
116619,Amy Carson
15556,Rebecca Hall
3064,Peter Mullan
39520,Garret Dillahunt
1271,Andy García
20185,Becca Gardner
4323,Darrick Doerner
240171,Gordon Liu Chia-Hui
78285,Marion O'Dwyer
67711,French Stewart
1352028,Gabriel Bateman
1138751,Gianni Capaldi
8338,Jodelle Ferland
65164,Master P
80597,Kym Whitley
10379,Victor Slezak
78062,Aml Ameen
74136,Justin Welborn
158412,Arthur Corber
4776,Michael Murphy
2394,Alan Ruck
29712,Tim Thomerson
58556,Anatoli Davydov
43121,Lisa Kaplan
19498,Jon Bernthal
41748,Vivian Blaine
207,Tom Wilkinson
38425,Amber Valletta
1009256,Lee Valmassy
40900,Mark Rylance
4741,Cayden Boyd
1527846,A.J. DeLucia
588,M. Emmet Walsh
25837,Elisha Cuthbert
31116,Sunny Johnson
18998,Rosemary Harris
44797,Tim Van Patten
118243,Sprague Grayden
151180,Isild Le Besco
