movie_id,actor_id
19995,65731
19995,8691
19995,10205
19995,32747
19995,17647
285,85
285,114
285,116
285,1640
285,1619
206647,8784
206647,27319
206647,121529
206647,5469
206647,28782
49026,3894
49026,3895
49026,64
49026,1813
49026,2524
49529,60900
49529,21044
49529,2206
49529,5293
49529,19159
559,2219
559,205
559,17051
559,19159
559,17052
38757,69899
38757,16855
38757,2517
38757,2372
38757,22132
99861,3223
99861,74568
99861,103
99861,16828
99861,1245
767,10980
767,10989
767,10990
767,10993
767,5658
209112,880
209112,73968
209112,90633
209112,9273
209112,44735
1452,17271
1452,1979
1452,7517
1452,11006
1452,7489
10764,8784
10764,18182
10764,8789
10764,5309
10764,3753
58,85
58,114
58,116
58,1640
58,2440
57201,85
57201,53807
57201,886
57201,1283
57201,18473
49521,73968
49521,9273
49521,335
49521,1269
49521,2882
2454,25130
2454,5528
2454,5529
2454,5527
2454,5526
24428,3223
24428,16828
24428,103
24428,74568
24428,1245
1865,85
1865,955
1865,6972
1865,2449
1865,118
41154,2888
41154,2176
41154,16851
41154,72873
41154,7056
122917,7060
122917,1327
122917,30315
122917,25136
122917,95047
1930,37625
1930,54693
1930,7026
1930,5724
1930,55152
20662,934
20662,112
20662,2201
20662,227
20662,2983
57158,7060
57158,1327
57158,30315
57158,25136
57158,95047
2268,45589
2268,2227
2268,8784
2268,16431
2268,10912
254,3489
254,70851
254,3490
254,3491
254,3492
597,204
597,6193
597,3713
597,1954
597,8534
271110,16828
271110,3223
271110,1245
271110,60898
271110,53650
44833,60900
44833,28846
44833,131519
44833,131520
44833,13275
135397,73457
135397,18997
135397,76793
135397,7132
135397,1108907
37724,8784
37724,5309
37724,3810
37724,5469
37724,2038
558,2219
558,205
558,17051
558,658
558,18998
68721,3223
68721,12052
68721,1896
68721,529
68721,15556
12155,76070
12155,85
12155,1813
12155,1283
12155,1064
36668,6968
36668,4587
36668,1327
36668,2387
36668,10696
62211,7904
62211,1230
62211,884
62211,15735
62211,1271300
8373,10959
8373,19537
8373,19536
8373,11678
8373,8169
91314,13240
91314,2283
91314,7090
91314,61186
91314,1007683
68728,17051
68728,18973
68728,3293
68728,1812
68728,5367
102382,37625
102382,54693
102382,134
102382,122889
102382,55152
20526,9828
20526,1229
20526,59315
20526,2547
20526,60033
49013,887
49013,15897
49013,3895
49013,1246
49013,1241
44912,10859
44912,59175
44912,133
44912,504
44912,2983
10193,31
10193,12898
10193,13726
10193,3234
10193,2232
534,3894
534,65731
534,21028
534,56455
534,18997
168259,12835
168259,8167
168259,18918
168259,17647
168259,8169
72190,287
72190,175826
72190,1027850
72190,1186840
72190,18473
127585,6968
127585,5530
127585,17288
127585,72129
127585,4587
54138,62064
54138,17306
54138,8691
54138,1372
54138,11108
81005,3292
81005,73357
81005,3061
81005,2283
81005,6972
64682,6193
64682,2219
64682,36662
64682,33192
64682,1133349
9543,131
9543,59620
9543,2282
9543,658
9543,55412
68726,17605
68726,56365
68726,95101
68726,2372
68726,39659
38356,10959
38356,6949
38356,83586
38356,3910
38356,19536
217,3
217,112
217,10959
217,5538
217,650
105864,963134
105864,1476748
105864,2954
105864,3910
105864,1540680
62177,9015
62177,477
62177,9188
62177,7056
62177,9013
188927,62064
188927,17306
188927,1372
188927,11108
188927,8691
10681,670
10681,72754
10681,60074
10681,20753
10681,7907
5174,66
5174,18897
5174,9195
5174,2201
5174,2245
14161,3036
14161,2956
14161,5294
14161,9030
14161,17485
17979,64
17979,206
17979,78311
17979,57675
17979,558926
76757,18973
76757,38673
76757,48
76757,37632
76757,230680
258489,28846
258489,234352
258489,27319
258489,2231
258489,938
411,5528
411,5529
411,5527
411,5526
411,3896
246655,5530
246655,17288
246655,72129
246655,3292
246655,25072
155,3894
155,1810
155,6383
155,3895
155,1579
14160,68812
14160,290
14160,80676
14160,10
14160,18792
15512,19274
15512,368
15512,41419
15512,22226
15512,2628
1726,3223
1726,18288
1726,1229
1726,17857
1726,12052
44826,2282
44826,6730
44826,77996
44826,56734
44826,5538
8487,2888
8487,8945
8487,11181
8487,3136
8487,588
1735,18269
1735,1336
1735,10727
1735,49
1735,55900
297761,2888
297761,234352
297761,92404
297761,19492
297761,7499
2698,4495
2698,16858
2698,1230
2698,6860
2698,8265
137113,500
137113,5081
137113,2039
137113,2053
137113,119224
9804,1269
9804,59350
9804,3432
9804,49832
9804,59352
14869,6065
14869,38673
14869,9562
14869,23459
14869,24045
150540,56322
150540,169200
150540,21125
150540,19278
150540,59258
278927,1414734
278927,1532
278927,2282
278927,17605
278927,1245
10138,3223
10138,12052
10138,1896
10138,1245
10138,2295
58595,37917
58595,6885
58595,74568
58595,237455
58595,6972
102651,11701
102651,18050
102651,82191
102651,32987
102651,36594
119450,1333
119450,76512
119450,64
119450,41292
119450,20286
79698,2299
79698,76850
79698,66442
79698,587823
79698,85035
64686,6384
64686,9195
64686,58593
64686,13275
64686,136191
100402,16828
100402,2231
100402,1245
100402,4135
100402,60898
10192,12073
10192,776
10192,6941
10192,3131
10192,5823
158852,52018
158852,1461
158852,1055230
158852,965224
158852,41419
177572,66580
177572,515510
177572,82093
177572,51990
177572,78324
82690,4764
82690,7404
82690,58737
82690,43775
82690,21088
5255,31
5255,2169
5255,18286
5255,42363
5255,42362
47933,96066
47933,4785
47933,8984
47933,1094091
47933,6068
10191,449
10191,17276
10191,24264
10191,59174
10191,21007
296,1100
296,6408
296,6194
296,7218
296,7219
118340,73457
118340,8691
118340,543530
118340,12835
118340,51329
157336,10297
157336,83002
157336,1813
157336,3895
157336,1893
27205,6193
27205,24045
27205,27578
27205,2524
27205,3899
49051,1327
49051,7060
49051,30315
49051,1333
49051,112
9799,8167
9799,12835
9799,17647
9799,22123
9799,10883
4922,112
4922,287
4922,3063
4922,15887
4922,18050
