director_id,director
52038,Thomas Carter
3415,Jerry Zucker
933320,Eldar Rapaport
74272,Goran Dukic
39104,Abel Ferrara
86035,Maria Maggenti
3905,William H. Macy
1192754,Peter Landesman
56789,Thomas Bezucha
8,Lee Unkrich
154,Walter Murch
1921,George Nolfi
12080,Conrad Vernon
3964,Patrick Tatopoulos
736,Menno Meyjes
20766,Richard E. Grant
30422,Jack Smight
9915,Guy Hamilton
6046,Roland Emmerich
66218,Jennifer Flackett
3974,Miloš Forman
94917,Mitchell Altieri
17871,John Hamburg
65390,Scott Kalvert
2228,Sean Penn
78997,Leon Ichaso
4746,Robert Lorenz
59,Luc Besson
4014,Paul W.S. Anderson
35694,Jason Friedberg
112632,Eddie O'Flaherty
66512,Tom Brady
1978,Iain Softley
67767,Hal Needham
32277,Geoff Murphy
1288796,Gerard Johnstone
57142,Andrew Marton
69498,Mike Bigelow
36697,Gábor Csupó
135601,Troy Nixey
61921,Courtney Solomon
2388,Jonathan Frakes
70573,Paul Hunter
640,Chris Kentis
61290,Matthew O'Callaghan
75919,Hal Haberman
151017,Stevan Mena
9033,Christopher McQuarrie
504,Tim Robbins
16304,Brian Koppelman
21693,Motonori Sakakibara
108952,Mike Disa
59841,Matt Walsh
54472,Martin McDonagh
18533,Errol Morris
54559,Christian Alvart
1776,Francis Ford Coppola
41041,Christopher Smith
15892,Dan Fogelman
73161,Frank Nissen
114614,David Nixon
48583,Anne Fontaine
76422,Ric Roman Waugh
105648,Nat Faxon
7426,Duncan Tucker
18864,Tom McGrath
1291685,Taedong Park
11013,Dan Harris
6361,Nick Hamm
62854,Akiva Schaffer
115226,Eric Mendelsohn
2163,Richard LaGravenese
17633,Rob Marshall
113600,Susanna White
1585252,Rob Hawk
82579,Kevin Tenney
47503,Nancy Walker
30711,Kenneth Lonergan
101233,Michael Winnick
64195,Joseph Zito
65531,Eric Goldberg
89113,John Robert Hoffman
59958,Jamie Blanks
69579,James Isaac
7256,Lee Tamahori
77147,John Erick Dowdle
64139,Joshua Michael Stern
133293,Paul Bolger
69168,Leonard Farlinger
21958,Mark Rydell
72624,John Duigan
17447,Terry Zwigoff
54781,Allison Burnett
1708905,Pece Dingo
70250,Newt Arnold
5281,Spike Lee
1219158,Scott Smith
971918,Tyler Oliver
83198,Allan Arkush
7467,David Fincher
1788,Nicholas Meyer
10723,Mike Newell
35318,Ken Annakin
34110,Oren Moverman
1009255,Jason Trost
72205,Shari Springer Berman
13015,Phillip Noyce
136345,Sean Byrne
225556,Salim Akil
69099,Dan Ireland
57370,Frank Coraci
66039,Damon Santostefano
71871,Sergei Bodrov Jr.
71082,Andrea Arnold
19969,Pat O'Connor
1375201,Ken Scott
10808,Stephen Norrington
56714,Daisy von Scherler Mayer
16328,Adam Brooks
42745,Steve Antin
131521,Spencer Susser
11435,Howard Hawks
11676,Mark Pellington
18889,Mic Rodgers
69371,Jean-Marc Vallée
107630,William Phillips
75920,Jeremy Passmore
105643,Jay Oliva
71947,Gina Prince-Bythewood
4955,Dario Argento
22423,Herb Freed
134129,Benny Boom
113682,Christopher Hutson
30458,Henry Bean
20192,Brian Taylor
932088,Scott Speer
4429,Jim Jarmusch
1,George Lucas
17183,Jackie Earle Haley
10828,Guillermo del Toro
19244,Michael Winner
239571,Carl Rinsch
592493,David Lowery
84113,Charles Robert Carner
716,Emile Ardolino
124747,Pierre Coffin
144277,Fina Torres
29226,Julian Jarrold
52159,James D. Stern
12891,Joss Whedon
20646,Gabriele Muccino
75544,Jeremy Sims
228134,Rupert Sanders
160942,Norman Wright
33036,Roland Suso Richter
82033,Jon Hess
77919,Tim McCanlies
9158,Sharon Maguire
56717,Tom Vaughan
1040955,Valeri Milev
36804,Peter Chelsom
71570,Justin Chadwick
141673,Jason Eisener
31120,Robert Adetuyi
1232592,Chris Eyre
204325,Jay Alaimo
71872,Jeff Nichols
11401,John Woo
7671,Jeb Stuart
26767,Ringo Lam
1280037,Kate Barker-Froyland
11218,Alfonso Cuarón
585272,Adam Rapp
1152981,Graham Annable
5690,James Algar
67367,Rian Johnson
11649,Cameron Crowe
12677,Matthew Robbins
141169,Sngmoo Lee
57692,Neal Brennan
129716,Julio DePietro
53176,John Gatins
1174437,Neill Dela Llana
93214,Steven Quale
52894,Laurence Dunmore
63709,Craig R. Baxley
518,Danny DeVito
101518,Kevin Tancharoen
2036,Alex Garland
77162,Rodrigo García
235820,Christopher Spencer
57433,George Ogilvie
51795,Tom Elkins
101377,Paul Bartel
82194,Neill Blomkamp
5602,David Lynch
1299380,Nima Nourizadeh
107274,Richard Rich
136495,Damien Chazelle
124748,Chris Renaud
133183,Robert Lee King
74062,Marcos Siega
47773,Paul Mazursky
60237,John A. Davis
111247,Alan Cohn
69987,Jérôme Salle
65630,Rob Letterman
113907,Ian Sharp
7881,Jill Culton
5065,David Frankel
15361,Josef Rusnak
229198,Russell Holt
15488,Ken Loach
59413,Ben Garant
74600,Joshua Tickell
230059,Matty Rich
26502,Howard Deutch
107725,Harmage Singh Kalirai
140372,David Palmer
30368,Jon Kasdan
7,Andrew Stanton
10491,Paul Verhoeven
22676,Ole Bornedal
19450,Bob Rafelson
49555,Petter Næss
208113,Sarah Smith
57742,John Stevenson
52935,John Francis Daley
588701,Des McAnuff
33054,Keith Gordon
18281,Donald Petrie
19012,Davis Guggenheim
37362,Henry King
4499,Tom Shadyac
72258,Steve Boyum
6431,Darren Aronofsky
1090,John McTiernan
142007,Steve Trenbirth
7879,John Lasseter
641437,Alex Smith
87081,Dave McKean
57199,Mark Mylod
84769,Michael Worth
4956,Bernardo Bertolucci
58251,Elaine May
55116,Joe Chappelle
57113,Dan Gilroy
1111710,Brenna Sanchez
38023,Michael Patrick King
56349,Victor Salva
1044256,Lisanne Pajot
34517,Trey Parker
68457,James Frawley
86038,Josh Crook
3131,Antonio Banderas
8636,Cecil B. DeMille
88832,Kyle Rankin
32532,Brad Lewis
29214,Anne Fletcher
16294,Jonathan Demme
64030,Kelly Makin
2880,Emilio Estevez
32983,Douglas McGrath
53120,James DeMonaco
66563,Fred Wolf
220274,Patrick Meaney
87082,Jim Mickle
125637,Brian Baugh
131455,Valerie Red-Horse
239418,Darren Stein
1523137,Robert Fontaine
58547,Niall Johnson
3289,Paul Weitz
67316,Masayuki Ochiai
66605,Todd Solondz
54507,Jon M. Chu
66190,Tony Bancroft
1504620,Giovanni Zelko
1263110,Travis Legge
73588,Marc Schölermann
57997,Malcolm Goodwin
586066,Doug Block
1053020,Sterling Van Wagenen
68994,Ron Fricke
19840,Alejandro Amenábar
67106,Robert Sarkies
75699,Lisa Cholodenko
74105,Ricki Stern
68750,Robert Townsend
18311,Joe Roth
6980,Émile Gaudreault
449832,Hayley Cloake
11430,Jim Handley
1009253,Jason Trost
8246,Barry Levinson
1724,Roger Spottiswoode
59521,Jaume Collet-Serra
240740,Daniel Junge
133406,Dan Rush
23799,Uwe Boll
27571,David Slade
86482,Mark Tonderai
57865,Álex de la Iglesia
15148,Jon Amiel
96439,Nanette Burstein
56591,Danny Leiner
1288774,Cary Bell
1111709,Tom Putnam
84451,Leon Ford
223,Alejandro González Iñárritu
57594,John Cornell
9049,Victor Fleming
84981,Brian Trenchard-Smith
82839,Henry Alex Rubin
45117,John Carney
14674,George Cukor
26713,Chuck Russell
58628,Sara Sugarman
66514,Adam Jay Epstein
