genre_id,genre,alias,genres_emoji
37,Western,:cowboy_hat_face:,🤠
12,Adventure,:person_climbing:,🧗
10769,Foreign,:globe_showing_europe_africa:,🌍
10751,Family,:family_man_woman_girl_boy:,👨‍👩‍👧‍👦
10402,Music,:musical_notes:,🎶
9648,Mystery,:detective:,🕵️
10770,TV Movie,:television:,📺
16,Animation,:unicorn:,🦄
99,Documentary,:video_camera:,📹
14,Fantasy,:troll:,🧌
35,Comedy,:rolling_on_the_floor_laughing:,🤣
10749,Romance,:sparkling_heart:,💖
878,Science Fiction,:alien:,👽
27,Horror,:face_screaming_in_fear:,😱
36,History,:classical_building:,🏛️
80,Crime,:supervillain:,🦹
28,Action,:person_fencing:,🤺
53,Thriller,:bomb:,💣
10752,War,:military_medal:,🎖️
18,Drama,:performing_arts:,🎭
