movie_id,title,revenue,tagline,average_vote,popularity,release_date
19995,Avatar,2787965087,Enter the World of Pandora.,7.2,150.437577,2009-12-10
285,Pirates of the Caribbean: At World's End,961000000,"At the end of the world, the adventure begins.",6.9,139.082615,2007-05-19
206647,Spectre,880674609,A Plan No One Escapes,6.3,107.376788,2015-10-26
49026,The Dark Knight Rises,1084939099,The Legend Ends,7.6,112.31295,2012-07-16
49529,John Carter,284139100,"Lost in our world, found in another.",6.1,43.926995,2012-03-07
559,Spider-Man 3,890871626,The battle within.,5.9,115.699814,2007-05-01
38757,Tangled,591794936,They're taking adventure to new lengths.,7.4,48.681969,2010-11-24
99861,Avengers: Age of Ultron,1405403694,A New Age Has Come.,7.3,134.279229,2015-04-22
767,Harry Potter and the Half-Blood Prince,933959197,Dark Secrets Revealed,7.4,98.885637,2009-07-07
209112,Batman v Superman: Dawn of Justice,873260194,Justice or revenge,5.7,155.790452,2016-03-23
1452,Superman Returns,391081192,*No Tag Line*,5.4,57.925623,2006-06-28
10764,Quantum of Solace,586090727,"For love, for hate, for justice, for revenge.",6.1,107.928811,2008-10-30
58,Pirates of the Caribbean: Dead Man's Chest,1065659812,Jack is back!,7.0,145.847379,2006-06-20
57201,The Lone Ranger,89289910,Never Take Off the Mask,5.9,49.046956,2013-07-03
49521,Man of Steel,662845518,You will believe that a man can fly.,6.5,99.398009,2013-06-12
2454,The Chronicles of Narnia: Prince Caspian,419651413,Hope has a new face.,6.3,53.978602,2008-05-15
24428,The Avengers,1519557910,Some assembly required.,7.4,144.448633,2012-04-25
1865,Pirates of the Caribbean: On Stranger Tides,1045713802,Live Forever Or Die Trying.,6.4,135.413856,2011-05-14
41154,Men in Black 3,624026776,They are back... in time.,6.2,52.035179,2012-05-23
122917,The Hobbit: The Battle of the Five Armies,956019788,Witness the defining chapter of the Middle-Earth saga,7.1,120.965743,2014-12-10
1930,The Amazing Spider-Man,752215857,The untold story begins.,6.5,89.866276,2012-06-27
20662,Robin Hood,310669540,"Rise and rise again, until lambs become lions.",6.2,37.668301,2010-05-12
57158,The Hobbit: The Desolation of Smaug,958400000,Beyond darkness... beyond desolation... lies the greatest danger of all.,7.6,94.370564,2013-12-11
2268,The Golden Compass,372234864,There are worlds beyond our own - the compass will show the way.,5.8,42.990906,2007-12-04
254,King Kong,550000000,The eighth wonder of the world.,6.6,61.22601,2005-12-14
597,Titanic,1845034188,Nothing on Earth could come between them.,7.5,100.025899,1997-11-18
271110,Captain America: Civil War,1153304495,Divided We Fall,7.1,198.372395,2016-04-27
44833,Battleship,303025485,The Battle for Earth Begins at Sea,5.5,64.928382,2012-04-11
135397,Jurassic World,1513528810,The park is open.,6.5,418.708552,2015-06-09
37724,Skyfall,1108561013,Think on your sins.,6.9,93.004993,2012-10-25
558,Spider-Man 2,783766341,There's a hero in all of us.,6.7,35.149586,2004-06-25
68721,Iron Man 3,1215439994,Unleash the power behind the armor.,6.8,77.68208,2013-04-18
12155,Alice in Wonderland,1025491110,You're invited to a very important date.,6.4,78.530105,2010-03-03
36668,X-Men: The Last Stand,459359555,Take a Stand,6.3,3.857526,2006-05-24
62211,Monsters University,743559607,School never looked this scary.,7.0,89.186492,2013-06-20
8373,Transformers: Revenge of the Fallen,836297228,Revenge is coming.,6.0,21.939663,2009-06-19
91314,Transformers: Age of Extinction,1091405097,This is not war. It's extinction.,5.8,116.840296,2014-06-25
68728,Oz: The Great and Powerful,491868548,"In Oz, nothing is what it seems",5.7,46.985445,2013-03-07
102382,The Amazing Spider-Man 2,705717432,No more secrets.,6.5,89.270217,2014-04-16
20526,TRON: Legacy,400062763,The Game Has Changed.,6.3,73.79505,2010-12-10
49013,Cars 2,559852396,Ka-ciao!,5.8,49.98659,2011-06-11
44912,Green Lantern,219851172,"In our darkest hour, there will be light.",5.1,51.872839,2011-06-16
